time (fs),deltaI
-62.22794741,-0.889448078
-62.29223248,-0.979900325
-62.35651755,-1.075377696
-62.42080262,-1.155779693
-62.48508769,-1.246231939
-62.54937276,-1.316583686
-62.61365783,-1.371860059
-62.6779429,-1.447236931
-62.74222797,-1.457287181
-62.80651304,-1.457287181
-62.87079811,-1.452262056
-62.93508318,-1.402010808
-62.99936825,-1.36180981
-63.06365332,-1.291458062
-63.12793839,-1.241206814
-63.19222346,-1.190955566
-63.25650853,-1.150754568
-63.3207936,-1.160804818
-63.38507867,-1.170855067
-63.44936374,-1.195980691
-63.51364881,-1.251257064
-63.57793388,-1.316583686
-63.64221895,-1.386935434
-63.70650402,-1.447236931
-63.77078909,-1.532664053
-63.83507416,-1.552764552
-63.89935922,-1.562814802
-63.96364429,-1.557789677
-64.02792936,-1.517588678
