time (fs),deltaI
-23.99333875,0.136432175
-24.05980297,0.125125642
-24.1262672,0.117587953
-24.19273142,0.113819109
-24.25919565,0.111306546
-24.32565987,0.107537702
-24.3921241,0.102512576
-24.45858832,0.091206043
-24.52505255,0.077386947
-24.59151677,0.061055288
-24.657981,0.039698504
-24.72444522,0.013316594
-24.79090944,-0.015577879
-24.85737367,-0.043216071
-24.92383789,-0.070854263
-24.99030212,-0.093467329
-25.05676634,-0.114824113
-25.12323057,-0.131155772
-25.18969479,-0.144974868
-25.25615902,-0.152512556
-25.32262324,-0.157537682
-25.38908747,-0.157537682
-25.45555169,-0.158793964
-25.52201591,-0.160050245
-25.58848014,-0.163819089
-25.65494436,-0.170100496
-25.72140859,-0.178894467
-25.78787281,-0.190201
-25.85433704,-0.205276377
-25.92080126,-0.224120598
-25.98726549,-0.240452257
-26.05372971,-0.259296479
-26.12019394,-0.275628137
-26.18665816,-0.289447233
-26.25312238,-0.303266329
-26.31958661,-0.310804018
-26.38605083,-0.313316581
-26.45251506,-0.310804018
-26.51897928,-0.304522611
-26.58544351,-0.29572864
-26.65190773,-0.28693467
-26.71837196,-0.275628137
-26.78483618,-0.261809042
-26.85130041,-0.250502509
-26.91776463,-0.24296482
-26.98422885,-0.237939694
-27.05069308,-0.237939694
-27.1171573,-0.236683413
-27.18362153,-0.236683413
-27.25008575,-0.237939694
-27.31654998,-0.239195976
-27.3830142,-0.236683413
-27.44947843,-0.230402006
-27.51594265,-0.220351754
-27.58240688,-0.205276377
-27.6488711,-0.188944718
-27.71533532,-0.168844215
-27.78179955,-0.146231149
-27.84826377,-0.12110552
-27.914728,-0.095979892
-27.98119222,-0.070854263
-28.04765645,-0.049497478
-28.11412067,-0.029396975
-28.1805849,-0.011809035
-28.24704912,0.003266342
-28.31351335,0.017085438
-28.37997757,0.025879408
-28.44644179,0.03592966
-28.51290602,0.043467348
-28.57937024,0.057286444
-28.64583447,0.068592977
-28.71229869,0.083668354
-28.77876292,0.09748745
-28.84522714,0.116331672
-28.91169137,0.138944738
-28.97815559,0.161557804
-29.04461982,0.185427151
-29.11108404,0.208040217
-29.17754826,0.226884439
-29.24401249,0.243216097
-29.31047671,0.25452263
-29.37694094,0.259547756
-29.44340516,0.258291475
-29.50986939,0.252010067
-29.57633361,0.243216097
-29.64279784,0.230653283
-29.70926206,0.216834187
-29.77572629,0.204271373
-29.84219051,0.191708558
-29.90865473,0.181658307
-29.97511896,0.1753769
-30.04158318,0.174120618
-30.10804741,0.174120618
-30.17451163,0.1753769
-30.24097586,0.1753769
-30.30744008,0.177889462
-30.37390431,0.176633181
-30.44036853,0.172864337
-30.50683276,0.164070367
-30.57329698,0.148994989
-30.6397612,0.130150768
-30.70622543,0.108793983
-30.77268965,0.082412073
-30.83915388,0.054773881
-30.9056181,0.025879408
-30.97208233,-0.003015065
-31.03854655,-0.028140694
-31.10501078,-0.05075376
-31.171475,-0.0683417
-31.23793923,-0.083417077
-31.30440345,-0.095979892
-31.37086767,-0.104773862
-31.4373319,-0.109798987
-31.50379612,-0.11231155
-31.57026035,-0.116080395
-31.63672457,-0.123618083
-31.7031888,-0.131155772
-31.76965302,-0.142462305
-31.83611725,-0.157537682
-31.90258147,-0.176381904
-31.9690457,-0.201507532
-32.03550992,-0.227889443
