time,field,ref,writeheader
6.1435726210350605,0.8361942457554371,0.3730452245433015 + 0.0im,false
6.6777963272120315,0.39208149813996035,0.1520720657089637 + 0.0im,false
7.212020033388985,-0.16532984616754032,-0.05944182806232226 + 0.0im,false
7.746243739565956,-0.6405725578443772,-0.1916916002833151 + 0.0im,false
8.280467445742909,-0.8813697537606762,-0.22214392808737618 + 0.0im,false
8.814691151919861,-0.8187560014421728,-0.17114680285723574 + 0.0im,false
9.348914858096833,-0.4798443978948185,-0.08194539624317032 + 0.0im,false
9.883138564273777,0.021486128407375654,0.0024155991294694187 + 0.0im,false
10.417362270450738,0.5151989760074395,0.05502470315000447 + 0.0im,false
10.95158597662771,0.8276748388974164,0.06965877391746698 + 0.0im,false
11.485809682804673,0.8474968498493662,0.055822019107207424 + 0.0im,false
12.020033388981616,0.5742579384481441,0.029484053365545007 + 0.0im,false
12.554257095158588,0.11707632729048731,0.0047344811993244645 + 0.0im,false
13.08848080133555,-0.3564180988961056,-0.010663381831950515 + 0.0im,false
13.62270450751253,-0.6863898891055461,-0.015545064420324899 + 0.0im,false
14.156928213689502,-0.7713795470279377,-0.012987452884704249 + 0.0im,false
14.691151919866464,-0.5932123415071118,-0.007328758616112978 + 0.0im,false
15.225375626043407,-0.21777920562147904,-0.0020044551898782113 + 0.0im,false
15.759599332220379,0.2255457895277608,0.0013032188301884808 + 0.0im,false
16.293823038397342,0.5838090381451772,0.0024556407931159577 + 0.0im,false
16.828046744574284,0.7330021511681518,0.002158502184675967 + 0.0im,false
17.362270450751257,0.6259911445221649,0.0012793302911893191 + 0.0im,false
17.896494156928217,0.3112806344470105,0.00044228459796188274 + 0.0im,false
18.430717863105173,-0.09023016737384729,-7.775649767023809e-5 + 0.0im,false
18.964941569282132,-0.4367891682555725,-0.00027197780063640035 + 0.0im,false
19.499165275459095,-0.6175678190084166,-0.00025624020503208243 + 0.0im,false
20.033388981636048,-0.5839482762989816,-0.00015822899302467503 + 0.0im,false
20.56761268781301,-0.35688352970975246,-6.240169310419845e-5 + 0.0im,false
21.101836393989974,-0.017284076265296103,-2.7254487976587956e-6 + 0.0im,false
21.636060100166926,0.31756863736852003,2.0744414655512075e-5 + 0.0im,false
22.17028380634389,0.5320435179224047,2.169113151843409e-5 + 0.0im,false
22.704507512520888,0.5553986233402121,1.393422925977459e-5 + 0.0im,false
23.23873121869784,0.3900154237294871,5.974667312118921e-6 + 0.0im,false
23.772954924874803,0.10774268023083056,9.89376763237431e-7 + 0.0im,false
