time,field
232.8405222,0.006878835816552884 + 0.03228540449120524im
232.9048073,0.0046827508423623225 + 0.03263081081144883im
232.9690924,0.0024714913136282108 + 0.03282717289817229im
233.03337749999997,0.0002551497756821064 + 0.03287402422949547im
233.09766249999998,-0.0019561879961984305 + 0.03277158013055591im
233.1619476,-0.0041524889523244955 + 0.032520734688429864im
233.22623269999997,-0.006323818335079845 + 0.03212305457749079im
233.2905177,-0.008460384649204187 + 0.031580769833925305im
233.3548028,-0.010552583832199328 + 0.030896761631980213im
233.4190879,-0.012591042425581055 + 0.030074547128061287im
233.4833729,-0.014566659552993225 + 0.0291182614520093im
233.54765799999998,-0.016470647517367 + 0.02803263693765875im
233.6119431,-0.018294570836314535 + 0.026822979697099403im
233.6762281,-0.02003038354275379 + 0.025495143654845072im
233.7405132,-0.021670464586333035 + 0.024055502169322302im
233.8047983,-0.023207651180518117 + 0.022510917379668656im
233.8690834,-0.0246352699501729 + 0.020868707425740124im
233.9333684,-0.025947165745063106 + 0.019136611698409616im
233.99765349999998,-0.027137727995880448 + 0.01732275428567674im
234.0619386,-0.028201914501083076 + 0.015435605787747966im
234.1262236,-0.02913527254500536 + 0.013483943681062437im
234.1905087,-0.029933957260259374 + 0.011476811417210074im
234.2547938,-0.030594747160367416 + 0.009423476447774456im
234.3190788,-0.031115056781772045 + 0.007333387370334074im
234.3833639,-0.03149294638779995 + 0.005216130394139682im
234.44764899999998,-0.03172712870075291 + 0.0030813853263514665im
